"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-18","78","87","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-19","65","69","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-20","70","77","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-21","72","80","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-22","72","80","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-23","71","79","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-24","73","78","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-25","70","74","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-26","66","69","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-27","67","68","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-28","70","75","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-29","70","73","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-30","71","75","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-07-31","71","75","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-01","71","76","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-02","78","85","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-03","75","81","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-04","75","80","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-05","73","80","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-06","72","76","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-07","82","89","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-08","82","88","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-09",,"90","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-10",,"85","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-11","73","79","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-12","68","71","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-13","68","72","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-14","66","68","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-15","72","80","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-16","76","83","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-17","69","74","63"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-18","65","69","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-19","68","76","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-20","66","72","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-21","66","74","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-22","69","77","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-23","69","73","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-24","74","80","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-25","73","81","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-26","74","82","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-27","75","82","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-28","73","75","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-29","72","76","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-30","72","79","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-08-31","78","83","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-01","79","83","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-02","79","84","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-03","79","84","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-04","71","82","60"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-05","60","67","52"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-06","61","68","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-07","63","71","54"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-08","67","76","58"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-09","75","84","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000-09-10","74","79","68"
